"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"22","controller","src/controller/AstroController.java","3","35","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"23","controller","src/controller/AstroController.java","3","38","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"24","controller","src/controller/AstroController.java","3","39","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"25","controller","src/controller/AstroController.java","3","40","Avoid excessively long variable names like stockInfoController","Naming Rules","LongVariable"
"26","controller","src/controller/AstroController.java","3","41","Avoid excessively long variable names like portfolioController","Naming Rules","LongVariable"
"27","controller","src/controller/AstroController.java","3","43","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"28","controller","src/controller/AstroController.java","3","45","Avoid variables with short names like e","Naming Rules","ShortVariable"
"29","controller","src/controller/AstroController.java","3","45","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"30","controller","src/controller/AstroController.java","3","46","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"31","controller","src/controller/AstroController.java","3","55","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"32","controller","src/controller/AstroController.java","3","57","Avoid variables with short names like e","Naming Rules","ShortVariable"
"33","controller","src/controller/AstroController.java","3","57","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"34","controller","src/controller/AstroController.java","3","58","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"35","controller","src/controller/AstroController.java","3","69","Avoid variables with short names like e","Naming Rules","ShortVariable"
"36","controller","src/controller/AstroController.java","3","69","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"37","controller","src/controller/AstroController.java","3","70","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"38","controller","src/controller/AstroController.java","3","81","Avoid variables with short names like e","Naming Rules","ShortVariable"
"39","controller","src/controller/AstroController.java","3","81","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"40","controller","src/controller/AstroController.java","3","82","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"41","controller","src/controller/AstroController.java","3","93","Avoid variables with short names like e","Naming Rules","ShortVariable"
"42","controller","src/controller/AstroController.java","3","93","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"43","controller","src/controller/AstroController.java","3","103","Local variable 'server' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"44","controller","src/controller/AstroController.java","5","104","Found 'DD'-anomaly for variable 'host' (lines '104'-'108').","Controversial Rules","DataflowAnomalyAnalysis"
"45","controller","src/controller/AstroController.java","5","104","Found 'DU'-anomaly for variable 'host' (lines '104'-'145').","Controversial Rules","DataflowAnomalyAnalysis"
"46","controller","src/controller/AstroController.java","5","105","Found 'DD'-anomaly for variable 'port' (lines '105'-'110').","Controversial Rules","DataflowAnomalyAnalysis"
"47","controller","src/controller/AstroController.java","5","105","Found 'DU'-anomaly for variable 'port' (lines '105'-'145').","Controversial Rules","DataflowAnomalyAnalysis"
"48","controller","src/controller/AstroController.java","5","108","Found 'DU'-anomaly for variable 'host' (lines '108'-'145').","Controversial Rules","DataflowAnomalyAnalysis"
"49","controller","src/controller/AstroController.java","3","111","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"50","controller","src/controller/AstroController.java","3","155","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"51","controller","src/controller/AstroController.java","3","160","Local variable 'actions' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"52","controller","src/controller/GraphController.java","3","37","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"53","controller","src/controller/GraphController.java","3","38","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"54","controller","src/controller/GraphController.java","3","52","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"55","controller","src/controller/GraphController.java","3","58","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"56","controller","src/controller/GraphController.java","3","66","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"57","controller","src/controller/HarvesterController.java","3","31","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"58","controller","src/controller/HarvesterController.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"59","controller","src/controller/HarvesterController.java","3","34","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"60","controller","src/controller/HarvesterController.java","3","35","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"61","controller","src/controller/HarvesterController.java","2","35","The Logger variable declaration does not contain the static and final modifiers","Java Logging Rules","LoggerIsNotStaticFinal"
"62","controller","src/controller/HarvesterController.java","3","36","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"63","controller","src/controller/HarvesterController.java","3","41","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"64","controller","src/controller/HarvesterController.java","3","44","Local variable 'port' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"65","controller","src/controller/HarvesterController.java","3","76","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"66","controller","src/controller/HarvesterController.java","3","78","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"67","controller","src/controller/HarvesterController.java","3","92","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"68","controller","src/controller/HarvesterController.java","3","100","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"69","controller","src/controller/HarvesterController.java","3","107","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"70","controller","src/controller/HarvesterController.java","3","120","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"71","controller","src/controller/HarvesterController.java","3","121","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"72","controller","src/controller/HarvesterController.java","3","121","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"73","controller","src/controller/HarvesterController.java","3","122","It is somewhat confusing to have a field name with the same name as a method","Naming Rules","AvoidFieldNameMatchingMethodName"
"74","controller","src/controller/HarvesterController.java","3","122","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"75","controller","src/controller/HarvesterController.java","3","183","Local variable 'date' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"76","controller","src/controller/HarvesterController.java","3","184","Do not add empty strings","Optimization Rules","AddEmptyString"
"77","controller","src/controller/HarvesterController.java","3","184","Local variable 'time' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"78","controller","src/controller/HarvesterController.java","3","189","Local variable 'logTxtFile' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"79","controller","src/controller/HarvesterController.java","3","191","Local variable 'model' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"80","controller","src/controller/HarvesterController.java","5","192","Found 'DD'-anomaly for variable 'out' (lines '192'-'194').","Controversial Rules","DataflowAnomalyAnalysis"
"81","controller","src/controller/HarvesterController.java","3","201","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"82","controller","src/controller/HarvesterController.java","3","203","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"83","controller","src/controller/HarvesterController.java","3","211","The method propertyChange() has an NPath complexity of 256","Code Size Rules","NPathComplexity"
"84","controller","src/controller/IPageFactory.java","3","8","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"85","controller","src/controller/PortfolioController.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"86","controller","src/controller/PortfolioController.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"87","controller","src/controller/PortfolioController.java","3","25","Private field 'trader' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"88","controller","src/controller/PortfolioController.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"89","controller","src/controller/PortfolioController.java","3","26","Private field 'portfolios' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"90","controller","src/controller/PortfolioController.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"91","controller","src/controller/PortfolioController.java","3","28","Private field 'actions' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"92","controller","src/controller/PortfolioController.java","3","29","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"93","controller","src/controller/PortfolioController.java","3","29","Private field 'historyController' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"94","controller","src/controller/PortfolioController.java","3","32","Parameter 'portfolios' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"95","controller","src/controller/PortfolioController.java","3","32","Parameter 'trader' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"96","controller","src/controller/PortfolioController.java","3","44","Avoid excessively long variable names like createPortfolioListener","Naming Rules","LongVariable"
"97","controller","src/controller/PortfolioController.java","3","44","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"98","controller","src/controller/PortfolioController.java","3","47","Avoid variables with short names like e","Naming Rules","ShortVariable"
"99","controller","src/controller/PortfolioController.java","3","47","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"100","controller","src/controller/PortfolioController.java","3","53","Avoid excessively long variable names like manageAlgorithmSettingsListener","Naming Rules","LongVariable"
"101","controller","src/controller/PortfolioController.java","3","53","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"102","controller","src/controller/PortfolioController.java","3","56","Avoid variables with short names like e","Naming Rules","ShortVariable"
"103","controller","src/controller/PortfolioController.java","3","56","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"104","controller","src/controller/PortfolioController.java","3","58","Local variable 'portfolio' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"105","controller","src/controller/PortfolioController.java","3","58","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"106","controller","src/controller/PortfolioController.java","3","62","Local variable 'algoSettings' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"107","controller","src/controller/PortfolioController.java","3","69","Avoid excessively long variable names like portfolioHistoryListener","Naming Rules","LongVariable"
"108","controller","src/controller/PortfolioController.java","3","69","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"109","controller","src/controller/PortfolioController.java","3","72","Avoid variables with short names like e","Naming Rules","ShortVariable"
"110","controller","src/controller/PortfolioController.java","3","72","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"111","controller","src/controller/PortfolioController.java","3","73","Local variable 'portfolio' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"112","controller","src/controller/PortfolioController.java","3","73","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"113","controller","src/controller/PortfolioController.java","3","75","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"114","controller","src/controller/PortfolioController.java","3","84","Local variable 'handler' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"115","controller","src/controller/PortfolioController.java","3","108","Document empty method","Design Rules","UncommentedEmptyMethod"
"116","controller","src/controller/PortfolioHistoryController.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"117","controller","src/controller/PortfolioHistoryController.java","3","19","Perhaps 'portfolioModel' could be replaced by a local variable.","Design Rules","SingularField"
"118","controller","src/controller/PortfolioHistoryController.java","3","20","Avoid excessively long variable names like portfolioHistoryView","Naming Rules","LongVariable"
"119","controller","src/controller/PortfolioHistoryController.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"120","controller","src/controller/PortfolioHistoryController.java","3","20","Perhaps 'portfolioHistoryView' could be replaced by a local variable.","Design Rules","SingularField"
"121","controller","src/controller/PortfolioHistoryController.java","3","25","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"122","controller","src/controller/PortfolioHistoryController.java","3","26","Local variable 'phc' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"123","controller","src/controller/PortfolioHistoryController.java","3","30","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"124","controller","src/controller/SimController.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"125","controller","src/controller/SimController.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"126","controller","src/controller/SimController.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"127","controller","src/controller/SimController.java","3","25","Perhaps 'settingController' could be replaced by a local variable.","Design Rules","SingularField"
"128","controller","src/controller/SimController.java","3","26","Avoid excessively long variable names like simResultController","Naming Rules","LongVariable"
"129","controller","src/controller/SimController.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"130","controller","src/controller/SimController.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"131","controller","src/controller/SimController.java","3","43","Avoid excessively long variable names like configureAlgorithm","Naming Rules","LongVariable"
"132","controller","src/controller/SimController.java","3","54","Document empty method","Design Rules","UncommentedEmptyMethod"
"133","controller","src/controller/SimController.java","3","54","Parameter 'evt' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"134","controller","src/controller/SimResultController.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"135","controller","src/controller/SimResultController.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"136","controller","src/controller/SimResultController.java","3","33","Local variable 'oldValue' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"137","controller","src/controller/SimResultController.java","3","34","Local variable 'newValue' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"138","controller","src/controller/SimResultController.java","3","35","Local variable 'diff' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"139","controller","src/controller/SimResultController.java","3","68","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"140","controller","src/controller/SimulationAlgorithmSettingsController.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"141","controller","src/controller/SimulationAlgorithmSettingsController.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"142","controller","src/controller/SimulationAlgorithmSettingsController.java","3","23","Private field 'algorithmName' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"143","controller","src/controller/SimulationAlgorithmSettingsController.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"144","controller","src/controller/SimulationAlgorithmSettingsController.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"145","controller","src/controller/SimulationAlgorithmSettingsController.java","3","26","Perhaps 'view' could be replaced by a local variable.","Design Rules","SingularField"
"146","controller","src/controller/SimulationAlgorithmSettingsController.java","3","28","Avoid excessively long variable names like algortihmSettingsDouble","Naming Rules","LongVariable"
"147","controller","src/controller/SimulationAlgorithmSettingsController.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"148","controller","src/controller/SimulationAlgorithmSettingsController.java","3","28","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"149","controller","src/controller/SimulationAlgorithmSettingsController.java","3","29","Avoid excessively long variable names like algortihmSettingsLong","Naming Rules","LongVariable"
"150","controller","src/controller/SimulationAlgorithmSettingsController.java","3","29","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"151","controller","src/controller/SimulationAlgorithmSettingsController.java","3","31","Private field 'saveDown' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"152","controller","src/controller/SimulationAlgorithmSettingsController.java","3","33","Avoid variables with short names like e","Naming Rules","ShortVariable"
"153","controller","src/controller/SimulationAlgorithmSettingsController.java","3","33","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"154","controller","src/controller/SimulationAlgorithmSettingsController.java","3","43","Parameter 'algorithmName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"155","controller","src/controller/SimulationAlgorithmSettingsController.java","3","51","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"156","controller","src/controller/SimulationAlgorithmSettingsController.java","3","58","Local variable 'algorithm' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"157","controller","src/controller/StartController.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"158","controller","src/controller/StartController.java","3","22","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"159","controller","src/controller/StartController.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"160","controller","src/controller/StartController.java","3","23","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"161","controller","src/controller/StartController.java","3","24","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"162","controller","src/controller/StartController.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"163","controller","src/controller/StartController.java","3","26","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"164","controller","src/controller/StartController.java","3","27","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"165","controller","src/controller/StartController.java","3","27","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"166","controller","src/controller/StartController.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"167","controller","src/controller/StartController.java","3","33","Avoid variables with short names like e","Naming Rules","ShortVariable"
"168","controller","src/controller/StartController.java","3","33","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"169","controller","src/controller/StartController.java","3","34","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"170","controller","src/controller/StartController.java","3","45","Avoid variables with short names like e","Naming Rules","ShortVariable"
"171","controller","src/controller/StartController.java","3","45","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"172","controller","src/controller/StartController.java","3","46","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"173","controller","src/controller/StartController.java","3","56","Avoid variables with short names like e","Naming Rules","ShortVariable"
"174","controller","src/controller/StartController.java","3","56","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"175","controller","src/controller/StartController.java","3","57","Local variable 'selectedTag' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"176","controller","src/controller/StartController.java","3","66","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"177","controller","src/controller/StartController.java","3","81","Local variable 'actions' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"178","controller","src/controller/StockTableController.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"179","controller","src/controller/StockTableController.java","3","23","Private field 'view' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"180","controller","src/controller/StockTableController.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"181","controller","src/controller/StockTableController.java","3","24","Private field 'retList' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"182","controller","src/controller/StockTableController.java","3","35","Document empty method","Design Rules","UncommentedEmptyMethod"
"183","controller","src/controller/StockTableController.java","3","35","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"184","controller","src/controller/StockTableController.java","3","41","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"185","controller","src/controller/StockTableController.java","3","47","Document empty method","Design Rules","UncommentedEmptyMethod"
"186","controller","src/controller/WizardContoller.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"187","controller","src/controller/WizardContoller.java","3","28","Private field 'model' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"188","controller","src/controller/WizardContoller.java","3","29","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"189","controller","src/controller/WizardContoller.java","3","29","Private field 'view' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"190","controller","src/controller/WizardContoller.java","3","30","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"191","controller","src/controller/WizardContoller.java","3","30","Private field 'pageModel' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"192","controller","src/controller/WizardContoller.java","3","32","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"193","controller","src/controller/WizardContoller.java","3","32","Private field 'actions' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"194","controller","src/controller/WizardContoller.java","3","34","Parameter 'pageModel' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"195","controller","src/controller/WizardContoller.java","1","44","Overridable method 'getBackListener' called during object construction","Design Rules","ConstructorCallsOverridableMethod"
"196","controller","src/controller/WizardContoller.java","1","45","Overridable method 'getCancelListener' called during object construction","Design Rules","ConstructorCallsOverridableMethod"
"197","controller","src/controller/WizardContoller.java","1","46","Overridable method 'getFinishListener' called during object construction","Design Rules","ConstructorCallsOverridableMethod"
"198","controller","src/controller/WizardContoller.java","3","53","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"199","controller","src/controller/WizardContoller.java","3","53","Private field 'view' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"200","controller","src/controller/WizardContoller.java","3","55","Parameter 'view' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"201","controller","src/controller/WizardContoller.java","3","61","Avoid variables with short names like e","Naming Rules","ShortVariable"
"202","controller","src/controller/WizardContoller.java","3","61","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"203","controller","src/controller/WizardContoller.java","3","73","Avoid variables with short names like e","Naming Rules","ShortVariable"
"204","controller","src/controller/WizardContoller.java","3","73","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"205","controller","src/controller/WizardContoller.java","3","88","Avoid unnecessary constructors - the compiler will generate these for you","Controversial Rules","UnnecessaryConstructor"
"206","controller","src/controller/WizardContoller.java","3","88","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
"207","controller","src/controller/WizardContoller.java","3","93","Avoid variables with short names like e","Naming Rules","ShortVariable"
"208","controller","src/controller/WizardContoller.java","3","93","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"209","controller","src/controller/WizardContoller.java","3","106","Avoid variables with short names like e","Naming Rules","ShortVariable"
